@Hand
29/90,Avengers
120/4,Unknown Ragnarok Variant
120/5,Ragnarok
273/13,Ragnarok (99)
120/7,Balmung
143/107,Falx
149/2,Darksteel Falx
149/3,Scheherazade
163/97,Algol
170/101,Gold Algol
199/113,Bahadur
210/0,Naglering
227/97,Galatyn
238/110,Nightfall
241/112,Caladbolg
273/40,Caladbolg (99)
249/38,Ferus Algol
264/84,Jingang Greatsword
270/49,Hoarfrost Blade
270/56,Borealis
281/28,Foreshock Sword
289/84,Coalition sword
303/68,Voay Sword
307/116,Camaraderie claymore
307/121,Kaquljaan
313/122,Aettir
317/3,Epeolatry
357/125,Epeolatry (119)
319/32,Macbain
324/105,Soulcleaver
326/127,Malfeasance
329/1,Nibiru faussar
343/55,Lionheart
352/30,Irradiance Blade
355/81,Brave Blade II
356/21,Morgelai (su5)
357/47,Lament
359/29,Kaja Claymore
360/36,Nandaka
361/72,Zantetsuken X
362/102,Ophidian Sword

@Axe
29/49,Bronze Axe
29/50,Brass Axe
29/51,Battleaxe
29/52,Mythril Axe
29/53,Bone Axe
29/54,Tabarzin
29/55,Darksteel Tabar
29/56,Tabar
29/57,Darksteel Axe
29/58,Rune Axe
29/59,Nadziak
29/60,Darksteel Pick
29/61,War Pick
29/62,Mythril Pick
29/63,Bone Pick
29/64,Orcish Axe
136/115,Guttler
273/14,Guttler (99)
143/108,Tomahawk
171/46,Sirius Axe
203/77,Aymur
273/29,Aymur (99)
210/1,Labrys
245/49,Farsha
273/41,Farsha (99)
245/106,Glyph Axe
264/86,Tonatiuh Axe
279/14,Ark Tabar
279/109,Aytanri
281/30,Ravana's Axe
289/85,Coalition Axe 
291/66,Kerehcatl
303/63,Hunahpu
307/117,Camaraderie axe
319/33,Kumbhakarna
329/2,Nibiru tabar
329/10,Blurred axe
343/56,Tri-edge
354/117,Demonic Axe
356/22,Pangu (su5)
357/98,Gramk's Axe
358/28,Aern Axe
359/30,Kaja Axe
360/37,Dolichenus
361/18,Ark Tabar

@G.Axe
29/65,Centurion's Axe
29/66,Heavy Axe
29/67,Butterfly Axe
29/68,Greataxe
29/69,Bhuj
29/70,Kheten
29/71,Gigant Axe
29/72,Za'Dha Chopper
136/103,Rune Chopper
136/107,Bravura
273/15,Bravura (99)
143/103,Voulge
149/4,Darksteel Voulge
149/5,Leucous Voulge
163/96,Amood
170/100,Dark Amood
199/112,Wootz Amood
203/78,Conqueror
273/22,Conqueror (99)
210/2,Foolkiller
212/17,Balestorius
219/13,Eventreuse
247/8,Ukonvasara
273/42,Ukonvasara (99)
245/107,Vermeil Bhuj
303/61,Forefront Labrys
303/65,Ixtab
319/34,Svarga
324/106,Devivifier
329/3,Nibiru chopper
329/11,Blurred chopper
341/67,Reikiono
343/57,Chango
356/23,Labraunda (su5)
359/31,Kaja Chopper
360/38,Lycurgos
362/103,Ophidian Axe

@Scythe
30/39,Darksteel Scythe
30/40,Scythe
30/41,Mythril Scythe
30/42,Bronze Zaghnal
30/43,Brass Zaghnal
30/44,Zaghnal
30/45,Mythril Zaghnal
30/46,Demonslicer
120/8,Bone Scythe
136/106,Apocalypse
273/17,Apocalypse (99)
136/113,Unknown Scythe
143/105,Mandibular Sickle
149/6,Ivory Sickle
158/17,Orichalcum Scythe
172/0,Naigama
203/89,Liberator
273/28,Liberator (99)
210/3,Enforcer
226/117,D. Shantotto's Scythe
241/113,Redemption
273/43,Redemption (99)
245/108,Plaga Scythe
261/103,Twilight Scythe
279/13,Ark Scythe
280/53,Eletta Scythe
303/62,Forefront Scythe
303/64,Xbalanque 
307/122,Hoe
319/35,Inanna
329/4,Nibiru sickle
329/12,Blurred sickle
341/68,Dacnomania
343/52,Misanthropy
343/58,Anguta
356/26,Father Time (su5)
357/97,Lost Sickle
359/33,Kaja Scythe
360/40,Drepanum

@Polearm
30/47,Halberd
30/48,Ox Tongue
30/49,Partisan
30/50,Bronze Spear
30/51,Brass Spear
30/52,Spear
30/53,Harpoon
30/54,Darksteel Lance
30/55,Lance
30/56,Mythril Lance
30/57,Barchha
30/58,Cermet Lance
30/59,Kamayari
30/60,Wyvern Spear
30/61,Trident
30/62,Gungnir
273/16,Gungnir (99)
136/105,Rune Halberd
143/104,Couse
157/80,Pitchfork
158/15,Orichalcum Lance
163/98,Mezraq
171/47,Dark Mezraq
171/126,Engetsuto
184/83,Valkyrie's Fork
199/114,Thalassocrat
203/87,Ryunohige
273/33,Ryunohige (99)
210/4,Cletine
211/42,Tomoe
219/14,Zaide
219/15,Dabo
226/121,Sarissa
247/26,Rhongomiant
273/44,Rhongomiant (99)
279/17,Delphinius
289/86,coalition Lance 
291/68,Upukirex
307/118,Camaraderie lance
313/121,Escritorio
319/36,Olyndicus
329/5,Nibiru lance
343/59,Trishula
356/28,Aram (su5)
356/32,Tzee Xicu's Blade
357/46,Mizukage-no-naginata
358/29,Aern Spear
359/32,Kaja Lance
360/39,Shining One
361/19,Hotengeki
361/71,Sha Wujing's Lance

@Katana
98/47,Fudo
98/48,Wakizashi
98/49,Kodachi
98/50,Sakurafubuki
98/51,Kabutowari
98/52,Ganko
98/53,Kunai
136/112,Kikoku
273/18,Kikoku (99)
152/7,Sai
158/16,Hirenjaku
171/48,Ryumon
172/1,Hayabusa
203/85,Nagi
273/32,Nagi (99)
210/7,Shusui
211/45,Oninohocho
247/27,Kannagi
273/45,Kannagi (99)
245/109,Hochomasamune
279/16,Ikarigiri
288/16,Uguisu
303/60,Ichijintanto
319/37,Izuna
324/111,Achiuchikapu
329/6,Mijin
329/13,Kujaku
343/60,Heishi Shorinken
356/27,Fudo Masamune (su5)
359/34,Kaja Katana
360/41,Gokotai

@G.Katana
29/117,Nukemaru
29/118,Tachi
29/119,Mikazuki
29/120,Hosodachi
29/121,Onikiri
29/122,Kurodachi
29/123,Futsuno Mitama
29/124,Zanbato
29/125,Hagun
29/126,Ashura
29/127,Mumeito
30/0,Murasame
30/1,Honebami
125/111,Kazaridachi
136/108,Amanomurakumo
273/19,Amanomurakumo (99)
143/106,Kumokirimaru
154/54,Wooden Katana
171/127,Shirogatana
183/116,Shinai
203/88,Kogarasumaru
273/31,Kogarasumaru (99)
210/8,Pachipachio
211/41,Nanatsusaya
242/32,Masamune
273/46,Masamune (99)
245/110,Scathacha
266/90,Murasamemaru
279/15,Ark Tachi
288/1,Tenkomaru
291/67,Tsurumaru
303/59,Ichijinto
319/38,Nenekirimaru
329/7,Sensui
329/14,Kunitsuna
343/61,Dojikiri Yasutsuna
356/20,Zanmato
356/24,Fusenaikyo (su5)
359/35,Kaja Tachi
360/42,Hachimonji
363/73,Mutsunokami

@Club
29/36,Chocobo Wand
29/73,Oak Cudgel
29/74,Bone Cudgel
29/75,Buzdygan
29/76,Darksteel Mace
29/77,Bronze Mace
29/78,Platinum Mace
29/79,Mace
29/80,Mythril Mace
29/81,Ash Club
29/82,Chestnut Club
29/83,Shellbuster
29/84,Great Club
29/85,Darksteel Maul
29/86,Bronze Hammer
29/87,Brass Hammer
29/88,Warhammer
29/89,Maul
30/63,Scepter
30/64,Darksteel Rod
30/65,Bronze Rod
30/66,Brass Rod
30/67,Rod
30/68,Mythril Rod
30/69,Bone Rod
30/70,Ebony Wand
30/71,Yew Wand
30/72,Maple Wand
30/73,Mythic Wand
30/74,Mistilteinn
30/75,Rose Wand
30/76,Chestnut Wand
30/77,Willow Wand
30/78,Caduceus
30/79,Chocobo Wand (Unused)
30/80,Chocobo Wand (Unused)
30/81,Chocobo Wand (Unused)
30/82,Chocobo Wand (Unused)
30/83,Chocobo Wand (Unused)
30/84,Chocobo Wand (Unused)
30/85,Star Rod
30/86,Asklepios
30/87,Curse Wand
30/88,Skirnir's Wand
30/89,Earth Wand
30/90,Imperial Wand
30/91,Martial Wand
30/92,Pilgrim's Wand
30/93,Fey Wand
31/24,Mjollnir
273/20,Mjollnir (99)
136/104,Rune Rod
136/111,Trial Club
149/0,Morgenstern
150/28,Seveneyes
159/92,Charm Wand
160/113,Moogle Rod
163/100,Jadagna
170/27,Nomad Moogle Rod
183/68,Brass Jadagna
203/79,Yagrush
273/23,Yagrush (99)
210/5,Antares
211/44,Flanged Mace
217/30,Dream Bell
220/18,Club Hammer
220/121,Lady Bell
242/33,Gambanteinn
273/47,Gambanteinn (99)
245/111,Owleyes
264/87,Tefnut Wand
266/49,Rounsey Wand
267/30,Maestro's Baton
267/31,Melomane Mallet
280/52,Kitty Rod
281/29,Solstice
286/18,Shell Scepter
286/19,Gobbie Gavel
289/87,Coalition Rod
303/69,Tamaxchi
307/119,Camaraderie wand
313/89,Red Spriggan Club
313/90,Purple Spriggan Club
317/4,Idris
357/126,Idris (119)
317/47,Kyuka uchiwa
319/39,Nehushtan
324/107,Leafkin bopper
326/35,Heartbeater
329/8,Nibiru cudgel
329/15,Blurred rod
335/112,Divinity
335/114,Rubicundity
335/116,Heartstopper
343/62,Tishtrya
352/70,Seika Uchiwa
353/4,Jingly Rod
356/29,Asclepius (su5)
357/48,Soulflayer's Wand
358/98,Floral Hagoita
359/36,Kaja Rod
360/43,Maxentius
361/95,Cath Palug Hammer
362/34,Daybreak
363/36,Burrower's Wand

@Staff
31/6,Elm Staff
31/7,Holly Staff
31/8,Oak Staff
31/9,Ash Staff
31/10,Mahogany Staff
31/11,Legionnaire's Staff
31/12,Wise Wizard's Staff
31/13,Spiked Club
31/14,Rockmasher
31/15,Ebony Pole
31/16,Elm Pole
31/17,Holly Pole
31/18,Oak Pole
31/19,Ash Pole
31/20,Mythic Pole
31/21,Mahogany Pole
31/22,Rune Staff
31/23,Monster Signa
125/112,Dark Staff
125/113,Water Staff
125/114,Wind Staff
125/115,Ice Staff
125/116,Thunder Staff
125/117,Fire Staff
125/118,Light Staff
125/119,Earth Staff
125/120,Trick Staff
136/109,Iron-splitter
136/110,Claustrum
273/21,Claustrum (99)
148/43,Kingdom Signet Staff
148/44,Federation Signet Staff
148/45,Republic Signet Staff
149/1,Primate Staff
203/80,Laevateinn
273/24,Laevateinn (99)
203/81,Nirvana
273/34,Nirvana (99)
204/85,Tupsimati
273/37,Tupsimati (99)
210/6,Alkalurops
211/39,Mekki Shakki
211/40,Dorje
220/19,Caver's Shovel
226/118,B. Shantotto's Staff
226/122,Majestas
242/34,Hvergelmir
273/48,Hvergelmir (99)
264/85,Fulcrum Pole
279/10,Plenitas Virga
282/109,Iridal Staff
288/15,Zamzummim staff
303/67,Voay Staff
303/66,Forefront Scepter
307/120,Baqil staff
319/40,Keraunos
324/110,Mindmelter
329/9,Nibiru staff
335/115,Malice masher
343/63,Khatvanga
349/24,Exemplar
353/82,Hapy Staff
357/88,Lamia Staff
356/31,Kaumodaki (su5)
358/30,Aern Staff
359/37,Kaja Staff
360/44,Xoanon
361/117,Ranine Staff

@Throwing
31/83,Flame Boomerang
31/84,Boomerang
31/85,Rising Sun
31/86,Chakram
31/87,Moonring Blade
31/88,Grenade
31/89,Juji Shuriken
150/6,Fuma Shuriken
148/107,Throwing Tomahawk
148/108,Angon
324/88, Leafkin grenade
362/92,Grudge

@Archery
31/90,Gendawa
31/91,Loxley Bow
31/92,War Bow
31/93,Great Bow
31/94,Battle Bow
31/95,Power Bow
31/96,Longbow
31/97,Rapid Bow
31/98,Unknown Bow 1
31/99,Self Bow
31/100,Kaman
31/101,Unknown Bow 2
31/102,Wrapped Bow
31/103,Freesword's Bow
31/104,Expunger
31/105,Speed Bow
31/106,Hunting Bow
31/107,Composite Bow
31/108,Unknown Bow 3
31/109,Shortbow
31/110,Rune Bow
120/9,Shigeto Bow
143/110,Yoichinoyumi
272/127,Yoichinoyumi (99)
166/119,Lamian Kaman
247/9,Gandiva
273/3,Gandiva (99)
245/51,Siege Bow
264/77,Percept Bow
282/102,Unknown Bow 4
292/100, Coalition Bow
307/99, Camaraderie bow
307/100, Ajjub bow
318/124, Phaosphaelia
328/8, Nibiru bow
328/11, Blurred bow
340/124, Venery bow
342/97, Fail-Not
355/120,Unused Bow (su5)
357/37,Mizukage-no-yumi
358/127,Artemis Bow
359/0,Unused Ambu Bow
360/13,Unused Ambu Bow

@Gun
31/111,Heavy Crossbow
31/112,Crossbow
31/113,Arbalest
31/114,Zamburak
31/115,Light Crossbow
31/116,Negoroshiki
31/117,Hellfire
31/118,Hakenbuechse
31/119,Bandit's Gun
31/120,Repeating Crossbow
31/121,Power Crossbow
31/122,Culverin
136/117,Coffinmaker
143/109,Annihilator
272/126,Annihilator (99)
163/101,Hexagun
169/110,Darksteel Hexagun
183/70,Unknown Hexagun
199/119,Silver Cassandra
203/93,Gastraphetes
273/1,Gastraphetes (99)
203/92,Death Penalty
273/2,Death Penalty (99)
210/10,Unknown Gun
241/115,Armageddon
273/4,Armageddon (99)
303/40,	Forefront Blowgun
313/75, Decazoom Mk-XI
318/125, Doomsday
328/9, Nibiru gun
328/12, Blurred crossbow
342/98, Fomalhaut
355/121,Sharanga (su5)
358/18,Troll Gun

@Wind
31/123,Traversiere
31/124,Flute
31/125,Piccolo
31/126,Faerie Piccolo
31/127,Horn
32/0,Cornette
32/1,Crumhorn
32/2,Gemshorn
136/118,Gjallarhorn
273/0,Gjallarhorn (99)
280/93,Unknown Horn
303/39,	Forefront Flute
318/126, Linos
342/99, Marsyas
361/62,Marvelous Cheer

@String
32/3,Ebony Harp
32/4,Unknown Harp
32/5,Lamia Harp
32/6,Maple Harp
32/7,Nursemaid's Harp
32/8,Mythic Harp
32/9,Harp
32/10,Rose Harp
32/11,Sorrowful Harp
32/12,Cythara Anglica
261/69,Daurdabla
273/5,Daurdabla (99)
328/10, Nibiru harp
328/13, Blurred harp

@Bell
289/74, Matre Bell
313/76, Filiae bell

@Shield
31/27,Unknown Shield 1
31/28,Unknown Shield 2
31/29,Ritter Shield
31/30,Caballero Shield
31/31,Kite Shield
31/32,Heater Shield
31/33,Royal Knight Army Shield
31/34,Temple Knight Army Shield
31/35,Royal Guard's Shield
31/36,Darksteel Shield
31/37,Shell Shield
31/38,Tatami Shield
31/39,Scutum
31/40,Tower Shield
31/41,Faerie Shield
31/42,Maple Shield
31/43,Lauan Shield
31/44,Oak Shield
31/45,Elm Shield
31/46,Mahogany Shield
31/47,Aspis
31/48,Gold Buckler
31/49,Targe
31/50,Buckler
31/51,Darksteel Buckler
31/52,Frost Shield
122/66,General's Shield
122/67,Koenig Shield
130/57,Acheron Shield
155/82,Aegis
273/6,Aegis (99)
155/96,Genbu's Shield
164/117,Tariqah
164/118,Januwiyah
215/110,Kupo Shield
215/111,Nomad Shield
245/76,Seigneur Shield
261/94,Ochain
273/7,Ochain (99)
278/122,Adamas
284/7,Mandraguard
288/93,Janus Guard
306/38,Glinting Shield
307/27,Camaraderie shield
307/28,Slime shield
314/31,Mundus Shield
314/32,She-Slime Shield
314/33,Metal Slime Shield
314/34,Hatchling Shield
316/64,Morbol shield
319/107,Svalinn
331/96,Nibiru shield
331/97,Blurred shield
341/30,Culminus
344/122,Srivatsa
320/95,Cait Sith guard
354/28-35,Crafting Shield
355/40,Diamond Buckler
355/95,Kam'lanaut's Shield
361/32,Dullahan Shield
361/33,Cassie's Shield
362/2,Sacro Bulwark

@Hand
31/53,Avengers
31/54,Darksteel Katars
31/55,Katars
31/56,Jamadhars
31/57,Exocets
31/58,Darksteel Claws
31/59,Claws
31/60,Mythril Claws
31/61,Cermet Claws
31/62,Cesti
31/63,Lizard Cesti
31/64,Poison Cesti
31/65,Darksteel Knuckles
31/66,Bronze Knuckles
31/67,Brass Knuckles
31/68,Metal Knuckles
31/69,Mythril Knuckles
31/70,Koenigs Knuckles
31/71,Diamond Knuckles
31/72,Manoples
31/73,Gold Patas
31/74,Patas
31/75,Bone Patas
31/76,Cat Baghnakhs
31/77,Brass Baghnakhs
31/78,Baghnakhs
31/79,Rune Baghnakhs
142/14,Spharai
273/10,Spharai (99)
149/81,Adargas
166/88,Sainti
170/2,Darksteel Sainti
171/94,Adaman Sainti
172/42,Black Adargas
173/74,Hades Sainti
203/101,Glanzfaust
273/9,Glanzfaust (99)
203/102,Kenkonken
280/8,Kenkonken (99)
210/100,Shenlong's Baghnakhs
242/19,Verethragna
273/8,Verethragna (99)
245/79,Afflictors
269/36,Girru
281/20,Blutkrallen
293/85,Tlalpoloani
304/66,Forefront Cesti
314/97,Worm Feelers
319/23,Ohrmazd
328/62,Blurred claws
328/63,Nibiru sainti
341/9,Denouements
342/124,Godhands
352/106,Aphelion Knuckles
355/74,Premium Mogti
356/12,Sharanga (su5)
359/19,Kaja Knuckles
360/26,Karambit

@Dagger
109/30,Valiant Knife
109/31,Darksteel Knife
109/32,Bronze Knife
109/33,Knife
109/34,Mythril Knife
109/35,Cermet Knife
109/36,Misericorde
109/37,Bronze Dagger
109/38,Brass Dagger
109/39,Dagger
109/40,Mythril Dagger
109/41,Darksteel Baselard
109/42,Baselard
109/43,Mythril Baselard
109/44,Darksteel Kukri
109/45,Kukri
109/46,Mythril Kukri
109/47,Cermet Kukri
109/48,Heart Snatcher
109/49,Parrying Knife
109/50,Combat Caster's Dagger
109/51,Kris
109/52,Triple Dagger
109/53,Bone Knife
110/18,Kard
142/8,Mandau
273/49,Mandau (99)
142/12,Raetic Kris
148/1,Harpe
164/26,Jambiya
172/41,Supernal Knife
173/33,Matron's Knife
175/17,Khimaira Jambiya
200/40,Darksteel Jambiya
200/41,Thug's Jambiya
203/100,Vajra
273/56,Vajra (99)
203/127,Carnwenhan
273/59,Carnwenhan (99)
205/85,Terpsichore
273/62,Terpsichore (99)
210/95,Azoth
219/40,Ermine's Tail
227/31,Machismo
245/77,Twashtar
273/63,Twashtar (99)
246/32,Auric Dagger
262/10,Twilight Dagger
264/121,Mantodea Harpe
266/42,Lux Pugio
266/81,Coruscanti
269/50,Asteria
280/23,Blustery Dagger
281/55,Sandung
290/3,Coalition Dirk
292/1,Izhiikoh
308/49,Camaraderie dagger
319/108,Ipetam
325/68,Rhadamanthus
327/74,Odium
331/98,Nibiru knife
344/123,Sangoma
344/124,Aeneas
354/36,Chicken Knife II 
356/112,Gandring (su5)
358/68,Aern Dagger
358/111,Qutrub Dagger
359/104,Kaja Knife
360/111,Tauret
362/77,Wind Knife
363/6,Norgish Dagger
363/7,Esikuva

@Sword
109/54,Colichemarde
109/55,Small Sword
109/56,Bilbo
109/57,Junior Musketeer's Tuck
109/58,Joyeuse
109/59,Schlaeger
109/60,Duel Rapier
109/61,Degen
109/62,Mythril Degen
109/63,Epee
109/64,Fleuret
109/65,Schwert
109/66,Royal Guard's Fleuret
109/98,Spatha
109/99,Gold Sword
109/100,Longsword
109/101,Knight's Sword
109/102,Saber
109/103,Rune Blade
109/104,Sapara
109/105,Scimitar
109/106,Tulwar
109/107,Hanger
109/108,Ridill
109/109,Darksteel Falchion
109/110,Platinum Cutlass
109/111,Falchion
109/112,Cutlass
109/113,Xiphos
109/114,Brass Xiphos
109/115,Gladius
109/116,Darksteel Sword
109/117,Bronze Sword
109/118,Jagdplaute
109/119,Iron Sword
109/120,Mythril Sword
109/121,Dainslaif
109/122,Cermet Sword
109/123,Anelace
109/124,Katzbalger
109/125,Broadsword
109/126,Coral Sword
109/127,Hrotti
110/0,Bastard Sword
110/1,Hunting Sword
110/2,Espadon
110/3,Nadrs
110/4,Ancient Sword
110/5,Kaiser Sword
110/6,Dissector
110/7,Holy Sword
110/8,Gluttony Sword
110/9,Wing Sword
142/7,Excalibur
273/50,Excalibur (99)
150/102,Shotel
164/25,Kilij
164/119,Macuahuitl
170/1,Darksteel Kilij
170/126,Adaman Kilij
171/93,Sanguine Sword
175/18,Hauteclaire
183/97,Cermet Kilij
184/96,Hofud
203/96,Unknown Sword
203/97,Tizona
273/61,Tizona (99)
203/98,Murgleis
273/55,Murgleis (99)
203/126,Burtgang
273/57,Burtgang (99)
210/96,Fragarach
211/88,Organics
227/32,Concordia
242/18,Almace
273/64,Almace (99)
246/33,Tyrfing
263/105,Sagasinger
266/104,Ephemeron
279/72,Sanus Ensis
279/73,Ark Saber
279/74,Ark Sword
290/4,Coalition blade
292/2,Buramenk'ah
308/50,Camaraderie blade 
319/109,Claidheamh Soluis
325/69,Acclimator
327/73,Excalipoor
331/99,Nibiru blade
334/112,Medeina kilij
336/126,Brilliance
337/0,Vampirism
341/31,Fettering blade
341/93,Reikiko
344/125,Sequence
352/4,Fermion sword
353/95,Firetongue
354/1,Onion Sword II
354/102,Blizzard Brand
355/19,Save the Queen II
355/112,Kam'lanaut's Sword
356/115,Crocea Mors (su5)
357/26,Unused Sword (su5)
358/67,Aern Sword
359/105,Kaja Sword
360/112,Naegling

@Axe
108/125,Bronze Axe
108/126,Brass Axe
108/127,Battleaxe
109/0,Mythril Axe
109/1,Bone Axe
109/2,Tabarzin
109/3,Darksteel Tabar
109/4,Tabar
109/5,Darksteel Axe
109/6,Rune Axe
109/7,Nadziak
109/8,Darksteel Pick
109/9,War Pick
109/10,Mythril Pick
109/11,Bone Pick
109/12,Orcish Axe
142/13,Guttler
273/51,Guttler (99)
145/72,Tomahawk
171/91,Sirius Axe
203/94,Aymur
273/58,Aymur (99)
210/97,Labrys
245/78,Farsha
273/65,Farsha (99)
246/34,Glyph Axe
264/119,Tonatiuh Axe
279/75,Ark Tabar
279/116,Aytanri
281/57,Ravana's Axe
290/5,Coalition Axe
292/3,Kerehcatl
304/74,Hunahpu
308/51,Camaraderie axe 
319/110,Kumbhakarna
331/100,Nibiru tabar
331/103,Blurred axe
344/126,Tri-edge
354/124,Demonic Axe
356/111,Pangu (su5)
357/117,Gramk's Axe
358/69,Aern Axe
359/106,Kaja Axe
360/113,Dolichenus
361/34,Ark Tabar

@Katana
110/11,Fudo
110/12,Wakizashi
110/13,Kodachi
110/14,Sakurafubuki
110/15,Kabutowari
110/16,Ganko
110/17,Kunai
142/11,Kikoku
273/52,Kikoku (99)
152/14,Sai
158/66,Hirenjaku
171/92,Ryumon
172/40,Hayabusa
203/99,Nagi
273/60,Nagi (99)
210/99,Shusui
211/90,Oninohocho
247/40,Kannagi
273/66,Kannagi (99)
246/35,Hochomasamune
