---,LBS_ID,Name,PosRot,PosX,PosY,PosZ,Content,Zone,Race,Face,Head,Body,Hands,Legs,Feet,Main,Sub,Range,IsVisible
16785778_Coupulie,16785778,"Coupulie","131","-313.585","-2.628","490.944","COP","Carpenters_Landing","Elvaan_Female","Elvaan_Female_F1A","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Royal_Knights_Aketon","Elvaan_Female_Hands_Elvaan_Gauntlets","Elvaan_Female_Legs_Slacks","Elvaan_Female_Feet_Solea","","","","True"
16785779_Echanie,16785779,"Echanie","139","-148.424","-2.948","45.675","COP","Carpenters_Landing","Elvaan_Female","Elvaan_Female_F2B","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Gambison","Elvaan_Female_Hands_Default","Elvaan_Female_Legs_Linen_Slacks","Elvaan_Female_Feet_Solea","","","","True"
16789529_Gniyah_Mischatt,16789529,"Gniyah Mischatt","64","0.033","-3.000","2.725","COP","Manaclipper","Mithra","Mithra_F7B","Mithra_Head_Smilodon_Mask","Mithra_Body_Shair_Manteel","Mithra_Hands_Default","Mithra_Legs_Mithran_Loincloth","Mithra_Feet_Mithran_Gaiters","","","","True"
16789533_Khots_Chalahko,16789533,"Khots Chalahko","192","0.019","-3.674","-18.782","COP","Manaclipper","Mithra","Mithra_F4A","Mithra_Head_Default","Mithra_Body_Fishermans_Tunica","Mithra_Hands_Fishermans_Gloves","Mithra_Legs_Fishermans_Hose","Mithra_Feet_Fishermans_Boots","","","","True"
16793981_Fheli_Lapatzuo,16793981,"Fheli Lapatzuo","196","488.793","-3.003","709.473","COP","Bibiki_Bay","Mithra","Mithra_F4B","Mithra_Head_Circlet","Mithra_Body_Savage_Separates","Mithra_Hands_Default","Mithra_Legs_Shair_Seraweels","Mithra_Feet_Solea","","","","True"
16793982_Noih_Tahparawh,16793982,"Noih Tahparawh","72","-392.274","-3.000","-385.541","COP","Bibiki_Bay","Mithra","Mithra_F7B","Mithra_Head_Smilodon_Mask","Mithra_Body_Bison_Jacket","Mithra_Hands_Default","Mithra_Legs_Default","Mithra_Feet_Mithran_Gaiters","","","","True"
16793986_Pohka_Chichiyowahl,16793986,"Pohka Chichiyowahl","13","-416.388","-2.154","-430.095","COP","Bibiki_Bay","Mithra","Mithra_F6B","Mithra_Head_Drachenhorn","Mithra_Body_Fishermans_Tunica","Mithra_Hands_Mithran_Gauntlets","Mithra_Legs_Fishermans_Hose","Mithra_Feet_Mithran_Gaiters","","","","True"
16793987_Mep_Nhapopoluko,16793987,"Mep Nhapopoluko","16","464.350","-5.000","752.731","COP","Bibiki_Bay","Mithra","Mithra_F1A","Mithra_Head_Default","Mithra_Body_Fishermans_Apron","Mithra_Hands_Fishermans_Gloves","Mithra_Legs_Shura_Haidate","Mithra_Feet_Fishermans_Boots","","","","True"
16793989_Toh_Zonikki,16793989,"Toh Zonikki","60","-371.073","-0.929","-419.987","COP","Bibiki_Bay","Mithra","Mithra_F5B","Mithra_Head_Scarlet_Ribbon","Mithra_Body_Default","Mithra_Hands_Mithran_Gauntlets","Mithra_Legs_Barone_Cosciales","Mithra_Feet_Default","","","","True"
16794001_VukkiChebukki,16794001,"Vukki-Chebukki","4","-619.729","-1.180","-623.925","COP","Bibiki_Bay","Tarutaru","Tarutaru_Female_F7A","Tarutaru_Head_Austere_Hat","Tarutaru_Body_Field_Tunica","Tarutaru_Hands_Bracers","Tarutaru_Legs_Iron_Subligar","Tarutaru_Feet_Kyahan","","","","True"
16794002_Louverance,16794002,"Louverance","196","-343.903","-2.847","-966.058","COP","Bibiki_Bay","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Crimson_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16794009_Rohemolipaud,16794009,"Rohemolipaud","132","-617.260","-1.273","-658.798","COP","Bibiki_Bay","Elvaan_Male","Elvaan_Male_F3B","Elvaan_Male_Head_Default","Elvaan_Male_Body_Raptor_Jerkin","Elvaan_Male_Hands_Raptor_Gloves","Elvaan_Male_Legs_Raptor_Trousers","Elvaan_Male_Feet_Raptor_Ledelsens","","","","True"
16794010_Sanctia,16794010,"Sanctia","132","-622.202","-0.552","-622.379","COP","Bibiki_Bay","Hume_Female","Hume_Female_F8B","Hume_Female_Head_Nobles_Crown","Hume_Female_Body_Breastplate","Hume_Female_Hands_Scouts_Bracers_RNG_AF2","Hume_Female_Legs_Hunters_Braccae_RNG_AF1","Hume_Female_Feet_Fishermans_Boots","","","","True"
16794014_Shikaree_Z,16794014,"Shikaree Z","152","125.009","-44.729","872.450","COP","Bibiki_Bay","Mithra","Mithra_F2A","Mithra_Head_Adaman_Celata","Mithra_Body_Adaman_Cuirass","Mithra_Hands_Dragon_Finger_Gauntlets","Mithra_Legs_Ninja_Hakama_NIN_AF1","Mithra_Feet_Dragon_Greaves","","","","True"
16794015_Shikaree_Y,16794015,"Shikaree Y","93","-548.938","1.342","-415.367","COP","Bibiki_Bay","Mithra","Mithra_F4B","Mithra_Head_Darksteel_Armet","Mithra_Body_Dragon_Mail","Mithra_Hands_Dragon_Finger_Gauntlets","Mithra_Legs_Raptor_Trousers","Mithra_Feet_Thick_Sollerets","","","","True"
16794016_Shikaree_X,16794016,"Shikaree X","144","127.547","-44.862","871.801","COP","Bibiki_Bay","Mithra","Mithra_F3B","Mithra_Head_Tiger_Mask","Mithra_Body_Coeurl_Jerkin","Mithra_Hands_Dragon_Mittens","Mithra_Legs_Hunters_Braccae_RNG_AF1","Mithra_Feet_Dragon_Leggings","","","","True"
16794028_Tswe_Panipahr,16794028,"Tswe Panipahr","222","484.604","-3.035","729.671","COP","Bibiki_Bay","Mithra","Mithra_F4B","Mithra_Head_Snowman_Cap","Mithra_Body_Savage_Separates","Mithra_Hands_Default","Mithra_Legs_Default","Mithra_Feet_Igqira_Huaraches","","","","True"
16794035_Kiteh_Nanjyea,16794035,"Kiteh Nanjyea","44","298.915","-1.892","172.090","COP","Bibiki_Bay","Mithra","Mithra_F4A","Mithra_Head_Default","Mithra_Body_Barone_Corazza","Mithra_Hands_Barone_Manopolas","Mithra_Legs_Barone_Cosciales","Mithra_Feet_Barone_Gambieras","","","","True"
16798126_Louverance,16798126,"Louverance","183","-297.780","-52.174","-24.242","COP","Uleguerand_Range","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Dusk_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16798139_Zebada,16798139,"Zebada","232","-308.112","-41.137","-570.096","COP","Uleguerand_Range","Galka","Galka_F1B","Galka_Head_Shaded_Specs","Galka_Body_Default","Galka_Hands_Linen_Mitts","Galka_Legs_Elders_Braguette","Galka_Feet_Waders","","","","True"
16801911_Louverance,16801911,"Louverance","74","-179.997","-117.604","-26.619","COP","Bearclaw_Pinnacle","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Dusk_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16801912_Shikaree_Z,16801912,"Shikaree Z","65","-180.492","-118.500","-34.468","COP","Bearclaw_Pinnacle","Mithra","Mithra_F2A","Mithra_Head_Adaman_Celata","Mithra_Body_Adaman_Cuirass","Mithra_Hands_Dragon_Finger_Gauntlets","Mithra_Legs_Ninja_Hakama_NIN_AF1","Mithra_Feet_Dragon_Greaves","","","","True"
16801913_Shikaree_Y,16801913,"Shikaree Y","75","-179.247","-118.401","-31.991","COP","Bearclaw_Pinnacle","Mithra","Mithra_F4B","Mithra_Head_Darksteel_Armet","Mithra_Body_Dragon_Mail","Mithra_Hands_Dragon_Finger_Gauntlets","Mithra_Legs_Raptor_Trousers","Mithra_Feet_Thick_Sollerets","","","","True"
16801914_Shikaree_X,16801914,"Shikaree X","63","-181.091","-118.416","-30.453","COP","Bearclaw_Pinnacle","Mithra","Mithra_F3B","Mithra_Head_Tiger_Mask","Mithra_Body_Coeurl_Jerkin","Mithra_Hands_Dragon_Mittens","Mithra_Legs_Hunters_Braccae_RNG_AF1","Mithra_Feet_Dragon_Leggings","","","","True"
16801918_Louverance2,16801918,"Louverance2","193","-461.685","0.420","-249.270","COP","Bearclaw_Pinnacle","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Dusk_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16806375_Jakaka,16806375,"Jakaka","255","-144.711","7.246","-250.309","COP","Attohwa_Chasm","Tarutaru","Tarutaru_Female_F4A","Tarutaru_Head_Austere_Hat","Tarutaru_Body_Austere_Robe","Tarutaru_Hands_Austere_Cuffs","Tarutaru_Legs_Austere_Slops","Tarutaru_Feet_Austere_Sabots","","","","True"
16810217_Shikaree_Z,16810217,"Shikaree Z","40","-9.618","2.809","130.205","COP","Boneyard_Gully","Mithra","Mithra_F2A","Mithra_Head_Adaman_Celata","Mithra_Body_Adaman_Cuirass","Mithra_Hands_Dragon_Finger_Gauntlets","Mithra_Legs_Ninja_Hakama_NIN_AF1","Mithra_Feet_Dragon_Greaves","","","","True"
16810218_Shikaree_Y,16810218,"Shikaree Y","29","-9.671","3.191","126.565","COP","Boneyard_Gully","Mithra","Mithra_F4B","Mithra_Head_Darksteel_Armet","Mithra_Body_Dragon_Mail","Mithra_Hands_Dragon_Finger_Gauntlets","Mithra_Legs_Raptor_Trousers","Mithra_Feet_Thick_Sollerets","","","","True"
16810219_Shikaree_X,16810219,"Shikaree X","52","-4.898","3.521","128.413","COP","Boneyard_Gully","Mithra","Mithra_F3B","Mithra_Head_Tiger_Mask","Mithra_Body_Coeurl_Jerkin","Mithra_Hands_Dragon_Mittens","Mithra_Legs_Hunters_Braccae_RNG_AF1","Mithra_Feet_Dragon_Leggings","","","","True"
16814537_Louverance,16814537,"Louverance","193","-299.468","0.014","245.579","COP","PsoXja","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Crimson_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16822494_Louverance,16822494,"Louverance","219","-261.714","7.999","-46.439","COP","Oldton_Movalpolos","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Crimson_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16822501_Jabbos,16822501,"Jabbos","193","611.449","132.662","776.931","COP","Oldton_Movalpolos","Galka","Galka_F5A","Galka_Head_Default","Galka_Body_Austere_Robe","Galka_Hands_Gauntlets","Galka_Legs_Shura_Haidate","Galka_Feet_Default","","","","True"
16839106_Conflux_Surveyor,16839106,"Conflux Surveyor","82","133.000","-72.738","-824.000","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F3B","Hume_Male_Head_Shikkoku_Hatsuburi","Hume_Male_Body_Ebon_Talar","Hume_Male_Hands_Shadow_Cuffs","Hume_Male_Legs_Marduks_Shalwar","Hume_Male_Feet_Igqira_Huaraches","","","","True"
16839107_Cruor_Prospector,16839107,"Cruor Prospector","63","132.000","-75.856","-822.000","ABYSSEA","AbysseaKonschtat","Hume_Female","Hume_Female_F1A","Hume_Female_Head_Shikkoku_Hatsuburi","Hume_Female_Body_Ebon_Talar","Hume_Female_Hands_Shadow_Cuffs","Hume_Female_Legs_Marduks_Shalwar","Hume_Female_Feet_Igqira_Huaraches","","","","True"
16839108_Atma_Infusionist,16839108,"Atma Infusionist","105","135.000","-72.922","-825.000","ABYSSEA","AbysseaKonschtat","Galka","Galka_F5A","Galka_Head_Shikkoku_Hatsuburi","Galka_Body_Ebon_Talar","Galka_Hands_Shadow_Cuffs","Galka_Legs_Marduks_Shalwar","Galka_Feet_Igqira_Huaraches","","","","True"
16839109_Atma_Fabricant,16839109,"Atma Fabricant","96","130.000","-73.474","-818.000","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F6A","Hume_Male_Head_Igqira_Tiara","Hume_Male_Body_Ebur_Talar","Hume_Male_Hands_Default","Hume_Male_Legs_Scouts_Braccae_RNG_AF2","Hume_Male_Feet_Igqira_Huaraches","","","","True"
16839110_Time_Master_Debug,16839110,"Time Master Debug","192","136.633","-71.351","-843.272","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F1A","Hume_Male_Head_Default","Hume_Male_Body_Default","Hume_Male_Hands_Default","Hume_Male_Legs_Default","Hume_Male_Feet_Default","","","","True"
16839111_AP_Master_Debug,16839111,"AP Master Debug","192","139.291","-71.479","-842.994","ABYSSEA","AbysseaKonschtat","Mithra","Mithra_F1A","Mithra_Head_Default","Mithra_Body_Default","Mithra_Hands_Default","Mithra_Legs_Default","Mithra_Feet_Default","","","","True"
16839217_Machine_Outfitter,16839217,"Machine Outfitter","231","78.660","-72.578","-801.367","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F5A","Hume_Male_Head_Sallet","Hume_Male_Body_Breastplate","Hume_Male_Hands_Gauntlets","Hume_Male_Legs_Cuisses","Hume_Male_Feet_Plate_Leggings","","","","True"
16839218_Ayame,16839218,"Ayame","224","105.788","-72.758","-817.506","ABYSSEA","AbysseaKonschtat","Hume_Female","Hume_Female_F2B","Hume_Female_Head_Hachimaki","Hume_Female_Body_HaraAte","Hume_Female_Hands_Default","Hume_Female_Legs_Haidate","Hume_Female_Feet_SuneAte","","","","True"
16839219_Raibaht,16839219,"Raibaht","160","85.112","-72.007","-776.784","ABYSSEA","AbysseaKonschtat","Galka","Galka_F8A","Galka_Head_Default","Galka_Body_Battle_Jupon","Galka_Hands_Default","Galka_Legs_Brais","Galka_Feet_Socks","","","","True"
16839220_Rashid,16839220,"Rashid","132","-286.177","-31.588","-210.384","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F7B","Hume_Male_Head_Default","Hume_Male_Body_Royal_Knights_Chainmail","Hume_Male_Hands_Darksteel_Gauntlets","Hume_Male_Legs_Chain_Hose","Hume_Male_Feet_Greaves","","","","True"
16839221_Julio,16839221,"Julio","240","-267.064","-29.768","-198.099","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F5B","Hume_Male_Head_Default","Hume_Male_Body_Tunic","Hume_Male_Hands_Default","Hume_Male_Legs_Slops","Hume_Male_Feet_Ash_Clogs","","","","True"
16839222_Silver_Owl,16839222,"Silver Owl","95","-629.722","7.790","201.685","ABYSSEA","AbysseaKonschtat","Galka","Galka_F5B","Galka_Head_Red_Cap","Galka_Body_HaraAte","Galka_Hands_Default","Galka_Legs_Sitabaki","Galka_Feet_Kyahan","","","","True"
16839223_Talib,16839223,"Talib","222","-643.435","7.032","187.006","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F6B","Hume_Male_Head_Red_Cap","Hume_Male_Body_HaraAte","Hume_Male_Hands_Default","Hume_Male_Legs_Brais","Hume_Male_Feet_Gaiters","","","","True"
16839224_Argus,16839224,"Argus","215","-608.820","7.184","209.048","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F7A","Hume_Male_Head_Default","Hume_Male_Body_Royal_Knights_Chainmail","Hume_Male_Hands_Darksteel_Gauntlets","Hume_Male_Legs_Chain_Hose","Hume_Male_Feet_Greaves","","","","True"
16839225_Helga,16839225,"Helga","183","-126.895","48.508","488.122","ABYSSEA","AbysseaKonschtat","Hume_Female","Hume_Female_F2A","Hume_Female_Head_Koenig_Schaller","Hume_Female_Body_Koenig_Cuirass","Hume_Female_Hands_Black_Gadlings","Hume_Female_Legs_Koenig_Diechlings","Hume_Female_Feet_Koenig_Schuhs","","","","True"
16839226_Cleades,16839226,"Cleades","183","-119.323","50.052","492.210","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F5B","Hume_Male_Head_Default","Hume_Male_Body_Royal_Knights_Chainmail","Hume_Male_Hands_Darksteel_Gauntlets","Hume_Male_Legs_Chain_Hose","Hume_Male_Feet_Greaves","","","","True"
16839227_Naji,16839227,"Naji","195","247.928","20.748","480.097","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F3B","Hume_Male_Head_Default","Hume_Male_Body_Default","Hume_Male_Hands_Default","Hume_Male_Legs_Default","Hume_Male_Feet_Default","","","","True"
16839245_Flaco,16839245,"Flaco","160","98.630","-73.324","-809.661","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F4B","Hume_Male_Head_Default","Hume_Male_Body_Doublet","Hume_Male_Hands_Gloves","Hume_Male_Legs_Brais","Hume_Male_Feet_Default","","","","True"
16839247_Ihsan,16839247,"Ihsan","96","118.668","-72.000","-800.223","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F8B","Hume_Male_Head_Sallet","Hume_Male_Body_Breastplate","Hume_Male_Hands_Gauntlets","Hume_Male_Legs_Cuisses","Hume_Male_Feet_Plate_Leggings","","","","True"
16839248_Steel_Bones,16839248,"Steel Bones","79","115.458","-72.229","-807.023","ABYSSEA","AbysseaKonschtat","Galka","Galka_F8B","Galka_Head_Sallet","Galka_Body_Breastplate","Galka_Hands_Gauntlets","Galka_Legs_Cuisses","Galka_Feet_Plate_Leggings","","","","True"
16839259_Resistance_Fighter,16839259,"Resistance Fighter","5","-560.383","6.982","243.272","ABYSSEA","AbysseaKonschtat","Hume_Female","Hume_Female_F3B","Hume_Female_Head_Default","Hume_Female_Body_Default","Hume_Female_Hands_Default","Hume_Female_Legs_Default","Hume_Female_Feet_Default","","","","True"
16839270_Red_Canyon,16839270,"Red Canyon","48","-280.789","-32.000","-207.149","ABYSSEA","AbysseaKonschtat","Galka","Galka_F5A","Galka_Head_Iron_Mask","Galka_Body_Breastplate","Galka_Hands_Darksteel_Gauntlets","Galka_Legs_Cuisses","Galka_Feet_Plate_Leggings","","","","True"
16839271_Sugandhi,16839271,"Sugandhi","248","-648.407","6.583","182.449","ABYSSEA","AbysseaKonschtat","Hume_Female","Hume_Female_F7B","Hume_Female_Head_Default","Hume_Female_Body_Kenpogi","Hume_Female_Hands_Tekko","Hume_Female_Legs_Brais","Hume_Female_Feet_Gaiters","","","","True"
16839272_Romualdo,16839272,"Romualdo","176","-121.496","48.066","485.342","ABYSSEA","AbysseaKonschtat","Hume_Male","Hume_Male_F5B","Hume_Male_Head_Iron_Mask","Hume_Male_Body_Royal_Knights_Chainmail","Hume_Male_Hands_Chain_Mittens","Hume_Male_Legs_Chain_Hose","Hume_Male_Feet_Raptor_Ledelsens","","","","True"
16867737_Louverance,16867737,"Louverance","6","144.030","0.000","-60.083","COP","PromyvionVahzl","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Crimson_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16871591_Louverance,16871591,"Louverance","64","241.200","0.025","-238.439","COP","Spire_of_Vahzl","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Crimson_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16871602_Louverance,16871602,"Louverance","38","-237.606","59.999","16.375","COP","Spire_of_Vahzl","Elvaan_Male","Elvaan_Male_F2A","Elvaan_Male_Head_Crimson_Mask","Elvaan_Male_Body_Brigandine","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Hecatomb_Subligar","Elvaan_Male_Feet_Hecatomb_Leggings","","","","True"
16875854_Sanctia,16875854,"Sanctia","112","427.261","-1.798","-23.102","COP","Lufaise_Meadows","Hume_Female","Hume_Female_F8B","Hume_Female_Head_Nobles_Crown","Hume_Female_Body_Breastplate","Hume_Female_Hands_Scouts_Bracers_RNG_AF2","Hume_Female_Legs_Hunters_Braccae_RNG_AF1","Hume_Female_Feet_Fishermans_Boots","","","","True"
16875865_Jemmoquel_RK,16875865,"Jemmoquel, R.K.","54","-542.418","-6.124","-53.521","COP","Lufaise_Meadows","Elvaan_Male","Elvaan_Male_F1B","Elvaan_Male_Head_Royal_Knights_Bascinet","Elvaan_Male_Body_Royal_Squires_Chainmail","Elvaan_Male_Hands_Gauntlets","Elvaan_Male_Legs_Royal_Squires_Breeches","Elvaan_Male_Feet_Plate_Leggings","","","","True"
16875866_Yoram_IM,16875866,"Yoram, I.M.","54","-542.418","-6.124","-53.521","COP","Lufaise_Meadows","Hume_Female","Hume_Female_F2A","Hume_Female_Head_Default","Hume_Female_Body_Chainmail","Hume_Female_Hands_Chain_Mittens","Hume_Female_Legs_Chain_Hose","Hume_Female_Feet_Raptor_Ledelsens","","","","True"
16875867_TeldoMoroldo_WW,16875867,"Teldo-Moroldo, W.W.","54","-542.418","-6.124","-53.521","COP","Lufaise_Meadows","Tarutaru","Tarutaru_Female_F1A","Tarutaru_Head_Tactician_Magicians_Hat","Tarutaru_Body_Tactician_Magicians_Coat","Tarutaru_Hands_Chain_Mittens","Tarutaru_Legs_Chain_Hose","Tarutaru_Feet_Greaves","","","","True"
16875872_Chilaumme_RK,16875872,"Chilaumme, R.K.","1","414.659","1.905","-52.417","COP","Lufaise_Meadows","Elvaan_Female","Elvaan_Female_F1A","Elvaan_Female_Head_Lizard_Helm","Elvaan_Female_Body_Lizard_Jerkin","Elvaan_Female_Hands_Lizard_Gloves","Elvaan_Female_Legs_Royal_Squires_Breeches","Elvaan_Female_Feet_Lizard_Ledelsens","","","","True"
16875873_Ghost_Talker_IM,16875873,"Ghost Talker, I.M.","1","414.659","1.905","-52.417","COP","Lufaise_Meadows","Galka","Galka_F1A","Galka_Head_Sallet","Galka_Body_Breastplate","Galka_Hands_Darksteel_Gauntlets","Galka_Legs_Cuisses","Galka_Feet_Bronze_Leggings","","","","True"
16875874_Cotete_WW,16875874,"Cotete, W.W.","1","414.659","1.905","-52.417","COP","Lufaise_Meadows","Tarutaru","Tarutaru_Female_F1A","Tarutaru_Head_Padded_Cap","Tarutaru_Body_Battle_Jupon","Tarutaru_Hands_Chain_Mittens","Tarutaru_Legs_Chain_Hose","Tarutaru_Feet_Greaves","","","","True"
16875875_Jersey,16875875,"Jersey","51","-548.706","-6.197","-53.897","COP","Lufaise_Meadows","Hume_Male","Hume_Male_F2A","Hume_Male_Head_Wool_Hat","Hume_Male_Body_Battle_Jupon","Hume_Male_Hands_Bronze_Mittens","Hume_Male_Legs_Raptor_Trousers","Hume_Male_Feet_Kyahan","","","","True"
16875882_Travonce,16875882,"Travonce","9","-397.880","-0.314","-220.872","COP","Lufaise_Meadows","Elvaan_Male","Elvaan_Male_F8A","Elvaan_Male_Head_Default","Elvaan_Male_Body_Field_Tunica","Elvaan_Male_Hands_Chocobo_Gloves","Elvaan_Male_Legs_Fishermans_Hose","Elvaan_Male_Feet_Vagabonds_Boots","","","","True"
16875891_Chemioue,16875891,"Chemioue","13","-221.343","-14.714","309.831","COP","Lufaise_Meadows","Elvaan_Female","Elvaan_Female_F5B","Elvaan_Female_Head_Purple_Ribbon","Elvaan_Female_Body_Cardinal_Vest","Elvaan_Female_Hands_Hydra_Mitts","Elvaan_Female_Legs_Shair_Seraweels","Elvaan_Female_Feet_Hydra_Spats","","","","True"
16879953_Justinius,16879953,"Justinius","142","-513.222","-31.875","359.913","COP","Misareaux_Coast","Hume_Male","Hume_Male_F6A","Hume_Male_Head_Shinobi_Hachigane","Hume_Male_Body_Barone_Corazza","Hume_Male_Hands_Barone_Manopolas","Hume_Male_Legs_Barone_Cosciales","Hume_Male_Feet_Barone_Gambieras","","","","True"
