---,Level,Name,Description,Slot,Mesh,Race
Elvaan_Female_Body_Cloak,"1","Cloak","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Cloak/Cloak.Cloak'","Elvaan_Female"
Elvaan_Female_Body_Silk_Cloak,"1","Silk Cloak","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Silk_Cloak/Silk_Cloak.Silk_Cloak'","Elvaan_Female"
Elvaan_Female_Body_Royal_Squires_Chainmail,"1","Royal Squire's Chainmail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Royal_Squires_Chainmail/Royal_Squires_Chainmail.Royal_Squires_Chainmail'","Elvaan_Female"
Elvaan_Female_Body_Royal_Knights_Chainmail,"1","Royal Knight's Chainmail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Royal_Knights_Chainmail/Royal_Knights_Chainmail.Royal_Knights_Chainmail'","Elvaan_Female"
Elvaan_Female_Body_Padded_Armor,"1","Padded Armor","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Padded_Armor/Padded_Armor.Padded_Armor'","Elvaan_Female"
Elvaan_Female_Body_Bronze_Harness,"1","Bronze Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Bronze_Harness/Bronze_Harness.Bronze_Harness'","Elvaan_Female"
Elvaan_Female_Body_Bone_Harness,"1","Bone Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Bone_Harness/Bone_Harness.Bone_Harness'","Elvaan_Female"
Elvaan_Female_Body_Kenpogi,"1","Kenpogi","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Kenpogi/Kenpogi.Kenpogi'","Elvaan_Female"
Elvaan_Female_Body_Wool_Robe,"1","Wool Robe","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Wool_Robe/Wool_Robe.Wool_Robe'","Elvaan_Female"
Elvaan_Female_Body_Tactician_Magicians_Coat,"1","Tactician Magician's Coat","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Tactician_Magicians_Coat/Tactician_Magicians_Coat.Tactician_Magicians_Coat'","Elvaan_Female"
Elvaan_Female_Body_Robe,"1","Robe","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Robe/Robe.Robe'","Elvaan_Female"
Elvaan_Female_Body_Doublet,"1","Doublet","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Doublet/Doublet.Doublet'","Elvaan_Female"
Elvaan_Female_Body_Darksteel_Cuirass,"1","Darksteel Cuirass","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Darksteel_Cuirass/Darksteel_Cuirass.Darksteel_Cuirass'","Elvaan_Female"
Elvaan_Female_Body_Gambison,"1","Gambison","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Gambison/Gambison.Gambison'","Elvaan_Female"
Elvaan_Female_Body_Battle_Jupon,"1","Battle Jupon","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Battle_Jupon/Battle_Jupon.Battle_Jupon'","Elvaan_Female"
Elvaan_Female_Body_Iron_Musketeers_Cuirass,"1","Iron Musketeer's Cuirass","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Iron_Musketeers_Cuirass/Iron_Musketeers_Cuirass.Iron_Musketeers_Cuirass'","Elvaan_Female"
Elvaan_Female_Body_Centurions_Scale_Mail,"1","Centurion's Scale Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Centurions_Scale_Mail/Centurions_Scale_Mail.Centurions_Scale_Mail'","Elvaan_Female"
Elvaan_Female_Body_Gavial_Mail,"1","Gavial Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Gavial_Mail/Gavial_Mail.Gavial_Mail'","Elvaan_Female"
Elvaan_Female_Body_Scale_Mail,"1","Scale Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Scale_Mail/Scale_Mail.Scale_Mail'","Elvaan_Female"
Elvaan_Female_Body_Mythril_Breastplate,"1","Mythril Breastplate","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Mythril_Breastplate/Mythril_Breastplate.Mythril_Breastplate'","Elvaan_Female"
Elvaan_Female_Body_Magna_Bodice,"1","Magna Bodice","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Magna_Bodice/Magna_Bodice.Magna_Bodice'","Elvaan_Female"
Elvaan_Female_Body_Assault_Breastplate,"1","Assault Breastplate","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Assault_Breastplate/Assault_Breastplate.Assault_Breastplate'","Elvaan_Female"
Elvaan_Female_Body_Cardinal_Vest,"1","Cardinal Vest","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Cardinal_Vest/Cardinal_Vest.Cardinal_Vest'","Elvaan_Female"
Elvaan_Female_Body_Scorpion_Harness,"1","Scorpion Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Scorpion_Harness/Scorpion_Harness.Scorpion_Harness'","Elvaan_Female"
Elvaan_Female_Body_Demons_Harness,"1","Demon's Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Demons_Harness/Demons_Harness.Demons_Harness'","Elvaan_Female"
Elvaan_Female_Body_Lords_Cuirass,"1","Lord's Cuirass","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Lords_Cuirass/Lords_Cuirass.Lords_Cuirass'","Elvaan_Female"
Elvaan_Female_Body_Jujitsu_Gi,"1","Jujitsu Gi","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Jujitsu_Gi/Jujitsu_Gi.Jujitsu_Gi'","Elvaan_Female"
Elvaan_Female_Body_Royal_Knights_Aketon,"1","Royal Knight's Aketon","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Royal_Knights_Aketon/Royal_Knights_Aketon.Royal_Knights_Aketon'","Elvaan_Female"
Elvaan_Female_Body_Aketon,"1","Aketon","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Aketon/Aketon.Aketon'","Elvaan_Female"
Elvaan_Female_Body_Haubergeon,"1","Haubergeon","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Haubergeon/Haubergeon.Haubergeon'","Elvaan_Female"
Elvaan_Female_Body_Byrnie,"1","Byrnie","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Byrnie/Byrnie.Byrnie'","Elvaan_Female"
Elvaan_Female_Body_War_Shinobi_Gi,"1","War Shinobi Gi","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/War_Shinobi_Gi/War_Shinobi_Gi.War_Shinobi_Gi'","Elvaan_Female"
Elvaan_Female_Body_Earth_Doublet,"1","Earth Doublet","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Earth_Doublet/Earth_Doublet.Earth_Doublet'","Elvaan_Female"
Elvaan_Female_Body_Brigandine,"1","Brigandine","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Brigandine/Brigandine.Brigandine'","Elvaan_Female"
Elvaan_Female_Body_Justaucorps,"1","Justaucorps","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Justaucorps/Justaucorps.Justaucorps'","Elvaan_Female"
Elvaan_Female_Body_Black_Cloak,"1","Black Cloak","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Black_Cloak/Black_Cloak.Black_Cloak'","Elvaan_Female"
Elvaan_Female_Body_Vermillion_Cloak,"1","Vermillion Cloak","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Vermillion_Cloak/Vermillion_Cloak.Vermillion_Cloak'","Elvaan_Female"
Elvaan_Female_Body_Blue_Cotehardie,"1","Blue Cotehardie","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Blue_Cotehardie/Blue_Cotehardie.Blue_Cotehardie'","Elvaan_Female"
Elvaan_Female_Body_Black_Cotehardie,"1","Black Cotehardie","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Black_Cotehardie/Black_Cotehardie.Black_Cotehardie'","Elvaan_Female"
Elvaan_Female_Body_Fighters_Lorica_WAR_AF1,"1","Fighter's Lorica (WAR AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Fighters_Lorica_WAR_AF1/Fighters_Lorica_WAR_AF1.Fighters_Lorica_WAR_AF1'","Elvaan_Female"
Elvaan_Female_Body_Temple_Cyclas_MNK_AF1,"1","Temple Cyclas (MNK AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Temple_Cyclas_MNK_AF1/Temple_Cyclas_MNK_AF1.Temple_Cyclas_MNK_AF1'","Elvaan_Female"
Elvaan_Female_Body_Healers_Briault_WHM_AF1,"1","Healer's Briault (WHM AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Healers_Briault_WHM_AF1/Healers_Briault_WHM_AF1.Healers_Briault_WHM_AF1'","Elvaan_Female"
Elvaan_Female_Body_Wizards_Coat_BLM_AF1,"1","Wizard's Coat (BLM AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Wizards_Coat_BLM_AF1/Wizards_Coat_BLM_AF1.Wizards_Coat_BLM_AF1'","Elvaan_Female"
Elvaan_Female_Body_Warlocks_Tabard_RDM_AF1,"1","Warlock's Tabard (RDM AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Warlocks_Tabard_RDM_AF1/Warlocks_Tabard_RDM_AF1.Warlocks_Tabard_RDM_AF1'","Elvaan_Female"
Elvaan_Female_Body_Rogues_Vest_THF_AF1,"1","Rogue's Vest (THF AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Rogues_Vest_THF_AF1/Rogues_Vest_THF_AF1.Rogues_Vest_THF_AF1'","Elvaan_Female"
Elvaan_Female_Body_Gallant_Surcoat_PLD_AF1,"1","Gallant Surcoat (PLD AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Gallant_Surcoat_PLD_AF1/Gallant_Surcoat_PLD_AF1.Gallant_Surcoat_PLD_AF1'","Elvaan_Female"
Elvaan_Female_Body_Chaos_Cuirass_DRK_AF1,"1","Chaos Cuirass (DRK AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Chaos_Cuirass_DRK_AF1/Chaos_Cuirass_DRK_AF1.Chaos_Cuirass_DRK_AF1'","Elvaan_Female"
Elvaan_Female_Body_Beast_Jackcoat_BST_AF1,"1","Beast Jackcoat (BST AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Beast_Jackcoat_BST_AF1/Beast_Jackcoat_BST_AF1.Beast_Jackcoat_BST_AF1'","Elvaan_Female"
Elvaan_Female_Body_Choral_Justaucorps_BRD_AF1,"1","Choral Justaucorps (BRD AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Choral_Justaucorps_BRD_AF1/Choral_Justaucorps_BRD_AF1.Choral_Justaucorps_BRD_AF1'","Elvaan_Female"
Elvaan_Female_Body_Hunters_Jerkin_RNG_AF1,"1","Hunter's Jerkin (RNG AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Hunters_Jerkin_RNG_AF1/Hunters_Jerkin_RNG_AF1.Hunters_Jerkin_RNG_AF1'","Elvaan_Female"
Elvaan_Female_Body_Myochin_Domaru_SAM_AF1,"1","Myochin Domaru (SAM AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Myochin_Domaru_SAM_AF1/Myochin_Domaru_SAM_AF1.Myochin_Domaru_SAM_AF1'","Elvaan_Female"
Elvaan_Female_Body_Ninja_Chainmail_NIN_AF1,"1","Ninja Chainmail (NIN AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Ninja_Chainmail_NIN_AF1/Ninja_Chainmail_NIN_AF1.Ninja_Chainmail_NIN_AF1'","Elvaan_Female"
Elvaan_Female_Body_Drachen_Mail_DRG_AF1,"1","Drachen Mail (DRG AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Drachen_Mail_DRG_AF1/Drachen_Mail_DRG_AF1.Drachen_Mail_DRG_AF1'","Elvaan_Female"
Elvaan_Female_Body_Evokers_Doublet_SMN_AF1,"1","Evoker's Doublet (SMN AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Evokers_Doublet_SMN_AF1/Evokers_Doublet_SMN_AF1.Evokers_Doublet_SMN_AF1'","Elvaan_Female"
Elvaan_Female_Body_Magus_Jubbah_BLU_AF1,"1","Magus Jubbah (BLU AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Magus_Jubbah_BLU_AF1/Magus_Jubbah_BLU_AF1.Magus_Jubbah_BLU_AF1'","Elvaan_Female"
Elvaan_Female_Body_Corsairs_Frac_COR_AF1,"1","Corsair's Frac (COR AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Corsairs_Frac_COR_AF1/Corsairs_Frac_COR_AF1.Corsairs_Frac_COR_AF1'","Elvaan_Female"
Elvaan_Female_Body_Puppetry_Tobe_PUP_AF1,"1","Puppetry Tobe (PUP AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Puppetry_Tobe_PUP_AF1/Puppetry_Tobe_PUP_AF1.Puppetry_Tobe_PUP_AF1'","Elvaan_Female"
Elvaan_Female_Body_Dancers_Casaque_DNC_AF1,"1","Dancer's Casaque (DNC AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Dancers_Casaque_DNC_AF1/Dancers_Casaque_DNC_AF1.Dancers_Casaque_DNC_AF1'","Elvaan_Female"
Elvaan_Female_Body_Scholars_Gown_SCH_AF1,"1","Scholar's Gown (SCH AF1)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Scholars_Gown_SCH_AF1/Scholars_Gown_SCH_AF1.Scholars_Gown_SCH_AF1'","Elvaan_Female"
Elvaan_Female_Body_Tiger_Jerkin,"1","Tiger Jerkin","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Tiger_Jerkin/Tiger_Jerkin.Tiger_Jerkin'","Elvaan_Female"
Elvaan_Female_Body_Iron_Scale_Mail,"1","Iron Scale Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Iron_Scale_Mail/Iron_Scale_Mail.Iron_Scale_Mail'","Elvaan_Female"
Elvaan_Female_Body_Steel_Scale_Mail,"1","Steel Scale Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Steel_Scale_Mail/Steel_Scale_Mail.Steel_Scale_Mail'","Elvaan_Female"
Elvaan_Female_Body_Coeurl_Jerkin,"1","Coeurl Jerkin","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Coeurl_Jerkin/Coeurl_Jerkin.Coeurl_Jerkin'","Elvaan_Female"
Elvaan_Female_Body_Adaman_Cuirass,"1","Adaman Cuirass","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Adaman_Cuirass/Adaman_Cuirass.Adaman_Cuirass'","Elvaan_Female"
Elvaan_Female_Body_Coral_Harness,"1","Coral Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Coral_Harness/Coral_Harness.Coral_Harness'","Elvaan_Female"
Elvaan_Female_Body_Nobles_Tunic,"1","Noble's Tunic","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Nobles_Tunic/Nobles_Tunic.Nobles_Tunic'","Elvaan_Female"
Elvaan_Female_Body_Hauberk,"1","Hauberk","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Hauberk/Hauberk.Hauberk'","Elvaan_Female"
Elvaan_Female_Body_Arhats_Gi,"1","Arhat's Gi","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Arhats_Gi/Arhats_Gi.Arhats_Gi'","Elvaan_Female"
Elvaan_Female_Body_Dragon_Mail,"1","Dragon Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Dragon_Mail/Dragon_Mail.Dragon_Mail'","Elvaan_Female"
Elvaan_Female_Body_Rasetsu_Samue,"1","Rasetsu Samue","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Rasetsu_Samue/Rasetsu_Samue.Rasetsu_Samue'","Elvaan_Female"
Elvaan_Female_Body_Crimson_Scale_Mail,"1","Crimson Scale Mail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Crimson_Scale_Mail/Crimson_Scale_Mail.Crimson_Scale_Mail'","Elvaan_Female"
Elvaan_Female_Body_Adaman_Hauberk,"1","Adaman Hauberk","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Adaman_Hauberk/Adaman_Hauberk.Adaman_Hauberk'","Elvaan_Female"
Elvaan_Female_Body_Ogre_Jerkin,"1","Ogre Jerkin","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Ogre_Jerkin/Ogre_Jerkin.Ogre_Jerkin'","Elvaan_Female"
Elvaan_Female_Body_Koenig_Cuirass,"1","Koenig Cuirass","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Koenig_Cuirass/Koenig_Cuirass.Koenig_Cuirass'","Elvaan_Female"
Elvaan_Female_Body_War_Aketon,"1","War Aketon","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/War_Aketon/War_Aketon.War_Aketon'","Elvaan_Female"
Elvaan_Female_Body_Holy_Breastplate,"1","Holy Breastplate","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Holy_Breastplate/Holy_Breastplate.Holy_Breastplate'","Elvaan_Female"
Elvaan_Female_Body_Yasha_Samue,"1","Yasha Samue","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Yasha_Samue/Yasha_Samue.Yasha_Samue'","Elvaan_Female"
Elvaan_Female_Body_Kirins_Osode,"1","Kirin's Osode","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Kirins_Osode/Kirins_Osode.Kirins_Osode'","Elvaan_Female"
Elvaan_Female_Body_Hecatomb_Harness,"1","Hecatomb Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Hecatomb_Harness/Hecatomb_Harness.Hecatomb_Harness'","Elvaan_Female"
Elvaan_Female_Body_Errant_Houppelande,"1","Errant Houppelande","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Errant_Houppelande/Errant_Houppelande.Errant_Houppelande'","Elvaan_Female"
Elvaan_Female_Body_Fishermans_Tunica,"1","Fisherman's Tunica","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Fishermans_Tunica/Fishermans_Tunica.Fishermans_Tunica'","Elvaan_Female"
Elvaan_Female_Body_Chocobo_Jack_Coat,"1","Chocobo Jack Coat","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Chocobo_Jack_Coat/Chocobo_Jack_Coat.Chocobo_Jack_Coat'","Elvaan_Female"
Elvaan_Female_Body_Vagabonds_Tunica,"1","Vagabond's Tunica","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Vagabonds_Tunica/Vagabonds_Tunica.Vagabonds_Tunica'","Elvaan_Female"
Elvaan_Female_Body_Field_Tunica,"1","Field Tunica","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Field_Tunica/Field_Tunica.Field_Tunica'","Elvaan_Female"
Elvaan_Female_Body_Shura_Togi,"1","Shura Togi","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Shura_Togi/Shura_Togi.Shura_Togi'","Elvaan_Female"
Elvaan_Female_Body_Dalmatica,"1","Dalmatica","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Dalmatica/Dalmatica.Dalmatica'","Elvaan_Female"
Elvaan_Female_Body_Carapace_Breastplate,"1","Carapace Breastplate","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Carapace_Breastplate/Carapace_Breastplate.Carapace_Breastplate'","Elvaan_Female"
Elvaan_Female_Body_Dusk_Jerkin,"1","Dusk Jerkin","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Dusk_Jerkin/Dusk_Jerkin.Dusk_Jerkin'","Elvaan_Female"
Elvaan_Female_Body_Dragon_Harness,"1","Dragon Harness","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Dragon_Harness/Dragon_Harness.Dragon_Harness'","Elvaan_Female"
Elvaan_Female_Body_Warriors_Lorica_WAR_AF2,"1","Warrior's Lorica (WAR AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Warriors_Lorica_WAR_AF2/Warriors_Lorica_WAR_AF2.Warriors_Lorica_WAR_AF2'","Elvaan_Female"
Elvaan_Female_Body_Melee_Cyclas_MNK_AF2,"1","Melee Cyclas (MNK AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Melee_Cyclas_MNK_AF2/Melee_Cyclas_MNK_AF2.Melee_Cyclas_MNK_AF2'","Elvaan_Female"
Elvaan_Female_Body_Clerics_Briault_WHM_AF2,"1","Cleric's Briault (WHM AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Clerics_Briault_WHM_AF2/Clerics_Briault_WHM_AF2.Clerics_Briault_WHM_AF2'","Elvaan_Female"
Elvaan_Female_Body_Sorcerers_Coat_BLM_AF2,"1","Sorcerer's Coat (BLM AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Sorcerers_Coat_BLM_AF2/Sorcerers_Coat_BLM_AF2.Sorcerers_Coat_BLM_AF2'","Elvaan_Female"
Elvaan_Female_Body_Duelists_Tabard_RDM_AF2,"1","Duelist's Tabard (RDM AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Duelists_Tabard_RDM_AF2/Duelists_Tabard_RDM_AF2.Duelists_Tabard_RDM_AF2'","Elvaan_Female"
Elvaan_Female_Body_Assassins_Vest_THF_AF2,"1","Assassin's Vest (THF AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Assassins_Vest_THF_AF2/Assassins_Vest_THF_AF2.Assassins_Vest_THF_AF2'","Elvaan_Female"
Elvaan_Female_Body_Valor_Surcoat_PLD_AF2,"1","Valor Surcoat (PLD AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Valor_Surcoat_PLD_AF2/Valor_Surcoat_PLD_AF2.Valor_Surcoat_PLD_AF2'","Elvaan_Female"
Elvaan_Female_Body_Abyss_Cuirass_DRK_AF2,"1","Abyss Cuirass (DRK AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Abyss_Cuirass_DRK_AF2/Abyss_Cuirass_DRK_AF2.Abyss_Cuirass_DRK_AF2'","Elvaan_Female"
Elvaan_Female_Body_Monster_Jackcoat_BST_AF2,"1","Monster Jackcoat (BST AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Monster_Jackcoat_BST_AF2/Monster_Jackcoat_BST_AF2.Monster_Jackcoat_BST_AF2'","Elvaan_Female"
Elvaan_Female_Body_Bards_Justaucorps_BRD_AF2,"1","Bard's Justaucorps (BRD AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Bards_Justaucorps_BRD_AF2/Bards_Justaucorps_BRD_AF2.Bards_Justaucorps_BRD_AF2'","Elvaan_Female"
Elvaan_Female_Body_Scouts_Jerkin_RNG_AF2,"1","Scout's Jerkin (RNG AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Scouts_Jerkin_RNG_AF2/Scouts_Jerkin_RNG_AF2.Scouts_Jerkin_RNG_AF2'","Elvaan_Female"
Elvaan_Female_Body_Saotome_Domaru_SAM_AF2,"1","Saotome Domaru (SAM AF2)","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Saotome_Domaru_SAM_AF2/Saotome_Domaru_SAM_AF2.Saotome_Domaru_SAM_AF2'","Elvaan_Female"
